Index ;Value1;Value2
0;;
1;15;12
2;;
3;“60, 50, 40, 30, 20, -10”;“-10, 20, 30, 40, 50, 60”
4;;
5;Even Number;Odd Number
6;;
7;TRUE;FALSE
8;;
9;9;27
10;;
11;10010;10100
12;;
13;{6,6,6},  {12,12,12},  {18,18,18};{3,3,3},  {12,12,12}, {6,6,6}
14;;
15;Not Prime;Prime
