,ImagePath,StartTime,EndTime,ImageTime
0,./snippets/Final/ArraySum(CNL).png,2.092756986618042,27.15329098701477,25.06053400039673
1,./snippets/Final/ArraySumresp(CNL).png,27.158277988433838,40.94980311393738,13.79152512550354
2,./snippets/Final/BubbleSort(WIC).png,48.960931062698364,83.43240404129028,34.47147297859192
3,./snippets/Final/BubbleSortresp(WIC).png,83.43738913536072,150.96234607696533,67.52495694160461
4,./snippets/Final/NumberCheck(WOC).png,165.2982301712036,180.94552612304688,15.647295951843262
5,./snippets/Final/NumberCheckresp(WOC).png,180.95051312446594,200.54372310638428,19.593209981918335
6,./snippets/Final/ContainsSubstring(CNL).png,203.36344599723816,244.90777111053467,41.54432511329651
7,./snippets/Final/ContainsSubstringresp(CNL).png,244.91275811195374,264.79171204566956,19.87895393371582
8,./snippets/Final/Power(WIC).png,268.52843713760376,283.29136204719543,14.762924909591675
9,./snippets/Final/Powerresp(WIC).png,283.29534912109375,300.659451007843,17.364101886749268
10,./snippets/Final/BinaryConversion(WOC).png,302.51050305366516,316.8057370185852,14.295233964920044
11,./snippets/Final/BinaryConversionresp(WOC).png,316.80972814559937,329.60646200180054,12.796733856201172
12,./snippets/Final/MultiplyMatrix(CNL).png,336.6421151161194,351.2210590839386,14.578943967819214
13,./snippets/Final/MultiplyMatrixresp(CNL).png,351.22604608535767,379.78972601890564,28.563679933547974
14,./snippets/Final/PrimeNumber(WIC).png,385.45809412002563,406.2703471183777,20.81225299835205
15,./snippets/Final/PrimeNumberresp(WIC).png,406.27533316612244,414.86804008483887,8.59270691871643
