trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,45.464951999999926,377.95741669999995,None,377.95741669999995,None,377.95741669999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,8.46109530000001,423.48925569999994,None,423.48925569999994,None,423.48925569999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1712962962962963,-0.08055555555555556,1,0,0,2.2428555000000188,B,0.00828422999995837,None,432.0222764,None,1,[2.8991476999999577],[2.9156174999999394],432.0222764,None,4,"[3.354131700000039, 4.176778800000079, 2.44223199999999, 2.2260033999999678]","[3.3541351999999733, 4.176782700000103, 2.442237699999964, 2.2427401999999574]",432.0222764,None,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,61.96415189999993,434.3221751,None,434.3221751,None,434.3221751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,7.876223299999992,496.37009820000003,None,496.37009820000003,None,496.37009820000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14074074074074075,0.07407407407407407,1,0,0,12.864484500000003,A,0.013604429999986678,None,504.30317419999994,None,2,"[2.8991476999999577, 12.864287600000011]","[2.9156174999999394, 12.86429129999999]",504.30317419999994,None,4,"[3.354131700000039, 4.176778800000079, 2.44223199999999, 2.2260033999999678]","[3.3541351999999733, 4.176782700000103, 2.442237699999964, 2.2427401999999574]",504.30317419999994,None,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,36.67428140000004,517.2360711,None,517.2360711,None,517.2360711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,94.06884739999998,554.00149,None,554.00149,None,554.00149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14074074074074075,0.075,1,0,0,2.116854699999976,A,0.01559044000009635,None,648.1483588000001,None,3,"[2.8991476999999577, 12.864287600000011, 2.1001470000001063]","[2.9156174999999394, 12.86429129999999, 2.1166334000001825]",648.1483588000001,None,4,"[3.354131700000039, 4.176778800000079, 2.44223199999999, 2.2260033999999678]","[3.3541351999999733, 4.176782700000103, 2.442237699999964, 2.2427401999999574]",648.1483588000001,None,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,37.114687600000025,650.3316218,None,650.3316218,None,650.3316218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,use3,001,True,2022_May_04_1316,EyeTrackingStudy,2021.2.1,60.006900793587484,
