,ImagePath,StartTime,EndTime,ImageTime
0,./snippets/Final/ArraySum(CNL).png,2.024294137954712,34.95157217979431,32.9272780418396
1,./snippets/Final/ArraySumresp(CNL).png,34.95555901527405,51.41640615463257,16.46084713935852
2,./snippets/Final/BubbleSort(WIC).png,52.30502700805664,112.23276019096375,59.927733182907104
3,./snippets/Final/BubbleSortresp(WIC).png,112.23674702644348,118.26349020004272,6.026743173599243
4,./snippets/Final/NumberCheck(WOC).png,119.53523921966553,135.75060105323792,16.215361833572388
5,./snippets/Final/NumberCheckresp(WOC).png,135.75459122657776,151.99749517440796,16.2429039478302
6,./snippets/Final/ContainsSubstring(CNL).png,153.35690021514893,197.79493021965027,44.43803000450134
7,./snippets/Final/ContainsSubstringresp(CNL).png,197.79893517494202,218.44787311553955,20.648937940597534
8,./snippets/Final/Power(WIC).png,220.2151460647583,255.3435070514679,35.128360986709595
9,./snippets/Final/Powerresp(WIC).png,255.348491191864,275.60997915267944,20.26148796081543
10,./snippets/Final/BinaryConversion(WOC).png,276.73759508132935,294.64209508895874,17.904500007629395
11,./snippets/Final/BinaryConversionresp(WOC).png,294.64604806900024,311.5678012371063,16.92175316810608
12,./snippets/Final/MultiplyMatrix(CNL).png,315.5951690673828,321.47796607017517,5.882797002792358
13,./snippets/Final/MultiplyMatrixresp(CNL).png,321.4829521179199,366.58270621299744,45.099754095077515
14,./snippets/Final/PrimeNumber(WIC).png,368.06043004989624,457.2547650337219,89.19433498382568
15,./snippets/Final/PrimeNumberresp(WIC).png,457.2597510814667,481.25375604629517,23.99400496482849
