trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21388888888888888,-0.10185185185185185,1,0,0,1.973434699990321,B,0.0020206100307404995,None,648.6240127999918,None,1,[1.407141900039278],[1.4071452000061981],648.6240127999918,None,1,[1.9733503999887034],[1.9733538000145927],648.6240127999918,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6801250000135042,650.6430004999856,None,650.6430004999856,None,650.6430004999856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0324825000134297,652.3946140999906,None,652.3946140999906,None,652.3946140999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21388888888888888,-0.10185185185185185,1,0,0,0.6231123000034131,B,0.009344980004243553,None,653.5026548999595,None,1,[1.407141900039278],[1.4071452000061981],653.5026548999595,None,2,"[1.9733503999887034, 0.6229156000190414]","[1.9733538000145927, 0.6229186999844387]",653.5026548999595,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5487975999712944,654.1740127999801,None,654.1740127999801,None,654.1740127999801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0000405999599025,654.7952539999969,None,654.7952539999969,None,654.7952539999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22037037037037038,0.0824074074074074,1,0,0,1.3403402999974787,A,0.0026680900482460856,None,655.9327132999897,None,2,"[1.407141900039278, 1.3403692999854684]","[1.4071452000061981, 1.3403723999508657]",655.9327132999897,None,2,"[1.9733503999887034, 0.6229156000190414]","[1.9733538000145927, 0.6229186999844387]",655.9327132999897,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1307024999987334,657.3203622999717,None,657.3203622999717,None,657.3203622999717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8064226999995299,658.521525499993,None,658.521525499993,None,658.521525499993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22037037037037038,0.0824074074074074,1,0,0,0.7733906999928877,A,0.010525510006118566,None,659.3796365999733,None,3,"[1.407141900039278, 1.3403692999854684, 0.773214100045152]","[1.4071452000061981, 1.3403723999508657, 0.7732172000105493]",659.3796365999733,None,2,"[1.9733503999887034, 0.6229156000190414]","[1.9733538000145927, 0.6229186999844387]",659.3796365999733,None,,,,,,,demo12_1,001,False,2022_May_16_0933,EyeTrackingStudy,2021.2.1,59.79530869298472,
