trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.34595599997555837,49.46214120002696,None,49.46214120002696,None,49.46214120002696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10740740740740741,-0.09166666666666666,1,0,0,1.6258417000062764,B,0.009375966619700193,None,49.892694500042126,None,2,"[5.959045899973717, 0.7525982999941334]","[5.95904960000189, 0.7526018000207841]",49.892694500042126,None,1,[1.6257198000093922],[1.625723300036043],49.892694500042126,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5603592999977991,51.56774830003269,None,51.56774830003269,None,51.56774830003269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.647592999972403,52.208509400021285,None,52.208509400021285,None,52.208509400021285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08148148148148149,-0.08981481481481482,1,0,0,1.1063929999945685,B,0.009918966621626168,None,52.928150699997786,None,2,"[5.959045899973717, 0.7525982999941334]","[5.95904960000189, 0.7526018000207841]",52.928150699997786,None,2,"[1.6257198000093922, 1.1062283999635838]","[1.625723300036043, 1.106231999990996]",52.928150699997786,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.38944689999334514,54.08258109999588,None,54.08258109999588,None,54.08258109999588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.351937800005544,54.53614899999229,None,54.53614899999229,None,54.53614899999229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04537037037037037,-0.08333333333333333,1,0,0,1.1295433000195771,B,0.008373600023332983,None,54.94679850002285,None,2,"[5.959045899973717, 0.7525982999941334]","[5.95904960000189, 0.7526018000207841]",54.94679850002285,None,3,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836]","[1.625723300036043, 1.106231999990996, 1.1291672000079416]",54.94679850002285,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30699640000239015,56.1250607999973,None,56.1250607999973,None,56.1250607999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36199599999235943,56.52614100003848,None,56.52614100003848,None,56.52614100003848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05185185185185185,0.04814814814814815,1,0,0,0.7977871000184678,A,0.01391100004548207,None,56.936190900043584,None,3,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915]",56.936190900043584,None,3,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836]","[1.625723300036043, 1.106231999990996, 1.1291672000079416]",56.936190900043584,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.38839449995430186,57.77977170003578,None,57.77977170003578,None,57.77977170003578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3893752000294626,58.274688000034075,None,58.274688000034075,None,58.274688000034075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025925925925925925,0.075,1,0,0,1.4786125000100583,A,0.006171899964101613,None,58.7249570999993,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",58.7249570999993,None,3,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836]","[1.625723300036043, 1.106231999990996, 1.1291672000079416]",58.7249570999993,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3626215999829583,60.25339820003137,None,60.25339820003137,None,60.25339820003137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28572010004427284,60.690389700001106,None,60.690389700001106,None,60.690389700001106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,1.1315899000037462,B,0.0020077999215573072,None,61.037329800019506,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",61.037329800019506,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 1.1314256999758072]",61.037329800019506,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00021020002895966172,B,0.008927366696298122,None,62.173587666711924,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.173587666711924,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 8.990004425868392e-05]",62.173587666711924,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00024209998082369566,B,0.0038836667081341147,None,62.173587666711924,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.173587666711924,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 0.00013870000839233398]",62.173587666711924,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00028090004343539476,B,0.014612333383411169,None,62.19025433337859,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.19025433337859,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 9.589997353032231e-05]",62.19025433337859,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.0002297000028192997,B,0.008219333365559578,None,62.19025433337859,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.19025433337859,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 8.910003816708922e-05]",62.19025433337859,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00020490004681050777,B,0.0026410333812236786,None,62.19025433337859,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.19025433337859,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 8.949998300522566e-05]",62.19025433337859,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00019950000569224358,B,0.014352600031998008,None,62.206921000045256,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.206921000045256,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 8.9599983766675e-05]",62.206921000045256,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.00019880000036209822,B,0.009655300003942102,None,62.206921000045256,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.206921000045256,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 8.9599983766675e-05]",62.206921000045256,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03611111111111111,-0.0824074074074074,1,0,0,0.0001970999874174595,B,0.004495000001043081,None,62.206921000045256,None,4,"[5.959045899973717, 0.7525982999941334, 0.7974532999796793, 1.4783304000156932]","[5.95904960000189, 0.7526018000207841, 0.7974569000070915, 1.4783339999848977]",62.206921000045256,None,4,"[1.6257198000093922, 1.1062283999635838, 1.1291631999774836, 1.1314219000050798]","[1.625723300036043, 1.106231999990996, 1.1291672000079416, 9.009998757392168e-05]",62.206921000045256,None,,,,,,,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.276748800009955,None,space,0.31521960004465654,62.276748800009955,None,bvg,001,True,2022_Jun_07_1339,EyeTrackingStudy,2021.2.1,None,
