trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.32409699900017586,54.33112204099962,None,54.33112204099962,None,54.33112204099962,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09142857142857143,1,0,0,0.3635341250010242,A,0.013009208501898684,None,54.739644207998936,None,3,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136]",54.739644207998936,None,0,,,54.739644207998936,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.29918166599964024,55.15511879100086,None,55.15511879100086,None,55.15511879100086,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26809004100141465,55.53919366599803,None,55.53919366599803,None,55.53919366599803,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09142857142857143,1,0,0,0.8977463330011233,A,0.013012167502893135,None,55.889332957998704,None,4,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566]",55.889332957998704,None,0,,,55.889332957998704,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3843299990003288,56.83694445799847,None,56.83694445799847,None,56.83694445799847,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31148066600144375,57.3118188749977,None,57.3118188749977,None,57.3118188749977,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.09333333333333334,1,0,0,0.3619978329988953,A,0.011334358801832423,None,57.69144420799785,None,5,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377]",57.69144420799785,None,0,,,57.69144420799785,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4918043329998909,58.10350395799833,None,58.10350395799833,None,58.10350395799833,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6460652070018114,58.69824466600039,None,58.69824466600039,None,58.69824466600039,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17904761904761904,0.08666666666666667,1,0,0,0.9983198750014708,A,0.014361274803377455,None,59.423183666000114,None,6,"[0.6220653330019559, 0.38206679100039764, 0.3624853749970498, 0.8966971250010829, 0.3608361660008086, 0.9968049579983926]","[0.6220681250015332, 0.38206979100141325, 0.3624882499971136, 0.8966996669987566, 0.3608390830013377, 0.99680774999797]",59.423183666000114,None,0,,,59.423183666000114,None,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6935822490013379,60.46873879099803,None,60.46873879099803,None,60.46873879099803,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6972244570024486,61.27001066599769,None,61.27001066599769,None,61.27001066599769,None,,,,,,,,,,,,,,,,,,,,,,3,001,False,2022_Sep_10_1104,EyeTrackingStudy,2021.2.3,59.74344670310284,
