trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,33.9370828000001,361.7349651000004,None,361.7349651000004,None,361.7349651000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,19.423055600000225,395.7370324000003,None,395.7370324000003,None,395.7370324000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1287037037037037,-0.09166666666666666,1,0,0,0.9921758999998929,B,0.009414699999979348,None,415.21079290000034,None,2,"[5.137826400000449, 3.0744847000005393]","[5.137829899999815, 3.0744882000008147]",415.21079290000034,None,3,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321]","[3.798104499999681, 1.215686900000037, 0.9919591999996555]",415.21079290000034,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,52.42847660000007,416.2515524999999,None,416.2515524999999,None,416.2515524999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,16.82749530000001,468.7564775999999,None,468.7564775999999,None,468.7564775999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28425925925925927,0.13333333333333333,1,0,0,6.094002499999988,A,0.01485919999959151,None,485.6379158,None,3,"[5.137826400000449, 3.0744847000005393, 6.093836199999714]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895]",485.6379158,None,3,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321]","[3.798104499999681, 1.215686900000037, 0.9919591999996555]",485.6379158,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,43.1650623000005,491.77894390000074,None,491.77894390000074,None,491.77894390000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,56.80792870000005,535.0241036000007,None,535.0241036000007,None,535.0241036000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30462962962962964,-0.1037037037037037,1,0,0,13.131907699999829,B,0.0022485000008600764,None,591.8969692000001,None,3,"[5.137826400000449, 3.0744847000005393, 6.093836199999714]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895]",591.8969692000001,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",591.8969692000001,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,52.915319499999896,605.0766147000004,None,605.0766147000004,None,605.0766147000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,8.28032280000025,658.0636936000001,None,658.0636936000001,None,658.0636936000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,3.852668300000005,A,0.01460046666670678,None,666.4325683000006,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 3.852487299999666]",666.4325683000006,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",666.4325683000006,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00023220000002766028,A,0.009063066667295061,None,670.2905227666672,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 0.00010280000060447492]",670.2905227666672,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.2905227666672,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00037060000067867804,A,0.0036084666671740706,None,670.2905227666672,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 9.820000013860408e-05]",670.2905227666672,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.2905227666672,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
10,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00020339999991847435,A,0.015443333334587805,None,670.3071894333339,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 0.00012149999929533806]",670.3071894333339,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3071894333339,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00021870000000490109,A,0.009859633332780504,None,670.3071894333339,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 0.00010070000007544877]",670.3071894333339,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3071894333339,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.000240999999732594,A,0.00450263333368639,None,670.3071894333339,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 0.00016490000052726828]",670.3071894333339,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3071894333339,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
13,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00020370000038383296,A,0.015836500000659726,None,670.3238561000005,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 9.130000034929253e-05]",670.3238561000005,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3238561000005,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
14,0,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00020559999938996043,A,0.01091300000098272,None,670.3238561000005,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 9.219999992637895e-05]",670.3238561000005,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3238561000005,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
15,0,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28888888888888886,0.1037037037037037,1,0,0,0.00020260000019334257,A,0.006114700000580342,None,670.3238561000005,None,4,"[5.137826400000449, 3.0744847000005393, 6.093836199999714, 3.852483700000448]","[5.137829899999815, 3.0744882000008147, 6.0938396999999895, 0.0001331999992544297]",670.3238561000005,None,4,"[3.79810069999985, 1.2156832999999097, 0.9919557999992321, 13.131747900000846]","[3.798104499999681, 1.215686900000037, 0.9919591999996555, 13.131751400000212]",670.3238561000005,None,,,,,,,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.3883027000002,None,space,1.475671400000465,670.3883027000002,None,user4,001,True,2022_May_05_1312,EyeTrackingStudy,2021.2.1,None,
