trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,image_3.started,image_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_4.started,image_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,C.started,C.stopped,C.numClicks,C.timesOn,C.timesOff,D.started,D.stopped,D.numClicks,D.timesOn,D.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.046380599960685,None,space,0.10758539999369532,18.046380599960685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,18.17766779998783,None,space,35.608325699926354,18.17766779998783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,53.82564229995478,None,space,12.472319299937226,53.82564229995478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,66.3449761000229,None,space,13.720946400077082,66.3449761000229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10711230000015,None,1,[11.327428599935956],[11.327432499965653],80.10711230000015,None,0,,,-0.2175925925925926,0.1037037037037037,1,0,0,C,0.012534666806459427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10711230000015,None,91.4146233999636,None,space,10.203296300023794,91.4146233999636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,81.70506269996986,103.76875140005723,None,103.76875140005723,None,103.76875140005723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,32.30119379993994,185.54855659999885,None,185.54855659999885,None,185.54855659999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4212962962962963,0.10277777777777777,1,0,0,1.3665635000215843,A,0.0005982333095744252,None,217.89546669996344,None,1,[1.3661952000111341],[1.3661987000377849],217.89546669996344,None,0,,,217.89546669996344,None,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,32.01858470006846,219.3111262000166,None,219.3111262000166,None,219.3111262000166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,user13,001,True,2022_Jun_01_1305,EyeTrackingStudy,2021.2.1,None,
