trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.2674448749894509,A,0.001040958595694974,None,16.153630583008635,None,4,"[0.5690981660009129, 0.35387020799680613, 0.3035578749986598, 0.2663849999953527]","[0.5691011660092045, 0.3538730830041459, 0.3035609169892268, 0.26638787500269245]",16.153630583008635,None,0,,,16.153630583008635,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3300130830029957,16.46056208301161,None,16.46056208301161,None,16.46056208301161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.17541725000774022,16.86316216700652,None,16.86316216700652,None,16.86316216700652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.2854546250018757,A,0.0017364376981277019,None,17.10275108300266,None,5,"[0.5690981660009129, 0.35387020799680613, 0.3035578749986598, 0.2663849999953527, 0.2843461670126999]","[0.5691011660092045, 0.3538730830041459, 0.3035609169892268, 0.26638787500269245, 0.2843493750115158]",17.10275108300266,None,0,,,17.10275108300266,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31662054199841805,17.42878087500867,None,17.42878087500867,None,17.42878087500867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18807637500867713,17.830523374999757,None,17.830523374999757,None,17.830523374999757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.2956015829986427,A,0.011915853698155843,None,18.075990625002305,None,6,"[0.5690981660009129, 0.35387020799680613, 0.3035578749986598, 0.2663849999953527, 0.2843461670126999, 0.2944944590126397]","[0.5691011660092045, 0.3538730830041459, 0.3035609169892268, 0.26638787500269245, 0.2843493750115158, 0.29449733400542755]",18.075990625002305,None,0,,,18.075990625002305,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3010052080062451,18.409525249997387,None,18.409525249997387,None,18.409525249997387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21866541600320488,18.798775083007058,None,18.798775083007058,None,18.798775083007058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24095238095238095,0.09142857142857143,1,0,0,0.22943583299638703,A,0.012459416597266681,None,19.09241454199946,None,7,"[0.5690981660009129, 0.35387020799680613, 0.3035578749986598, 0.2663849999953527, 0.2843461670126999, 0.2944944590126397, 0.2283402499888325]","[0.5691011660092045, 0.3538730830041459, 0.3035609169892268, 0.26638787500269245, 0.2843493750115158, 0.29449733400542755, 0.22834324999712408]",19.09241454199946,None,0,,,19.09241454199946,None,,,,,,,vcxc,001,False,2022_Apr_25_2000,EyeTrackingStudy,2021.2.3,59.94052389548449,
