,ImagePath,StartTime,EndTime,ImageTime
0,./snippets/Final/ArraySum(CNL).png,2.053679943084717,19.166944980621338,17.11326503753662
1,./snippets/Final/ArraySumresp(CNL).png,19.171928882598877,81.33114790916443,62.15921902656555
2,./snippets/Final/BubbleSort(WIC).png,84.18605780601501,99.8481547832489,15.662096977233887
3,./snippets/Final/BubbleSortresp(WIC).png,99.85214185714722,217.60946989059448,117.75732803344727
4,./snippets/Final/NumberCheck(WOC).png,228.54682898521423,230.12460589408875,1.5777769088745117
5,./snippets/Final/NumberCheckresp(WOC).png,230.12859797477722,357.65658378601074,127.52798581123352
6,./snippets/Final/ContainsSubstring(CNL).png,363.8826198577881,429.83572483062744,65.95310497283936
7,./snippets/Final/ContainsSubstringresp(CNL).png,429.83971190452576,502.79758191108704,72.95787000656128
8,./snippets/Final/Power(WIC).png,505.7519998550415,541.9813468456268,36.22934699058533
9,./snippets/Final/Powerresp(WIC).png,541.9853339195251,628.3954298496246,86.41009593009949
10,./snippets/Final/BinaryConversion(WOC).png,630.2808079719543,703.258782863617,72.9779748916626
11,./snippets/Final/BinaryConversionresp(WOC).png,703.2627689838409,744.5248689651489,41.26209998130798
12,./snippets/Final/MultiplyMatrix(CNL).png,749.9186079502106,847.1207048892975,97.20209693908691
13,./snippets/Final/MultiplyMatrixresp(CNL).png,847.1256918907166,955.9975829124451,108.87189102172852
14,./snippets/Final/PrimeNumber(WIC).png,959.5188529491425,1039.696504831314,80.17765188217163
15,./snippets/Final/PrimeNumberresp(WIC).png,1039.7014918327332,1117.9621279239655,78.2606360912323
